code,road_name,aadt,year,month,crashes_property,crashes_fatal,crashes_non_fatal,crashes_total
1,EDSA,419952,2024,1,489,1,162,652
1,EDSA,419952,2024,2,543,1,131,675
1,EDSA,419952,2024,3,489,1,170,660
1,EDSA,419952,2024,4,521,1,172,694
1,EDSA,419952,2024,5,625,1,173,799
1,EDSA,419952,2024,6,636,3,129,768
1,EDSA,419952,2024,7,603,2,117,722
1,EDSA,419952,2024,8,632,1,144,777
1,EDSA,419952,2024,9,632,4,124,760
1,EDSA,419952,2024,10,523,3,104,630
1,EDSA,419952,2024,11,710,2,165,877
1,EDSA,419952,2024,12,725,2,132,859
2,C-5,250762,2024,1,508,2,139,649
2,C-5,250762,2024,2,597,2,150,749
2,C-5,250762,2024,3,487,1,130,618
2,C-5,250762,2024,4,561,2,144,707
2,C-5,250762,2024,5,564,1,160,725
2,C-5,250762,2024,6,508,2,165,675
2,C-5,250762,2024,7,522,2,167,691
2,C-5,250762,2024,8,697,5,142,844
2,C-5,250762,2024,9,551,3,134,688
2,C-5,250762,2024,10,641,5,129,775
2,C-5,250762,2024,11,639,3,141,783
2,C-5,250762,2024,12,588,3,138,729
3,COMMONWEALTH AVE.,413345,2024,1,243,1,111,355
3,COMMONWEALTH AVE.,413345,2024,2,316,1,99,416
3,COMMONWEALTH AVE.,413345,2024,3,298,3,109,410
3,COMMONWEALTH AVE.,413345,2024,4,325,2,126,453
3,COMMONWEALTH AVE.,413345,2024,5,310,0,108,418
3,COMMONWEALTH AVE.,413345,2024,6,246,4,101,351
3,COMMONWEALTH AVE.,413345,2024,7,313,0,115,428
3,COMMONWEALTH AVE.,413345,2024,8,329,3,111,443
3,COMMONWEALTH AVE.,413345,2024,9,255,0,71,326
3,COMMONWEALTH AVE.,413345,2024,10,324,0,128,452
3,COMMONWEALTH AVE.,413345,2024,11,340,1,160,501
3,COMMONWEALTH AVE.,413345,2024,12,396,1,141,538
4,QUEZON AVE.,298680,2024,1,201,2,45,248
4,QUEZON AVE.,298680,2024,2,216,1,62,279
4,QUEZON AVE.,298680,2024,3,177,0,58,235
4,QUEZON AVE.,298680,2024,4,175,0,41,216
4,QUEZON AVE.,298680,2024,5,170,1,56,227
4,QUEZON AVE.,298680,2024,6,159,0,38,197
4,QUEZON AVE.,298680,2024,7,210,0,41,251
4,QUEZON AVE.,298680,2024,8,199,1,57,257
4,QUEZON AVE.,298680,2024,9,158,0,38,196
4,QUEZON AVE.,298680,2024,10,206,0,52,258
4,QUEZON AVE.,298680,2024,11,207,1,61,269
4,QUEZON AVE.,298680,2024,12,201,1,48,250
5,ROXAS BLVD.,202820,2024,1,100,0,23,123
5,ROXAS BLVD.,202820,2024,2,97,0,21,118
5,ROXAS BLVD.,202820,2024,3,110,0,35,145
5,ROXAS BLVD.,202820,2024,4,123,0,31,154
5,ROXAS BLVD.,202820,2024,5,141,1,30,172
5,ROXAS BLVD.,202820,2024,6,110,0,31,141
5,ROXAS BLVD.,202820,2024,7,113,0,35,148
5,ROXAS BLVD.,202820,2024,8,97,0,24,121
5,ROXAS BLVD.,202820,2024,9,109,0,19,128
5,ROXAS BLVD.,202820,2024,10,111,1,32,144
5,ROXAS BLVD.,202820,2024,11,102,2,36,140
5,ROXAS BLVD.,202820,2024,12,95,1,29,125
6,MARCOS HIGHWAY,266610,2024,1,62,0,12,74
6,MARCOS HIGHWAY,266610,2024,2,93,1,14,108
6,MARCOS HIGHWAY,266610,2024,3,87,1,17,105
6,MARCOS HIGHWAY,266610,2024,4,86,0,14,100
6,MARCOS HIGHWAY,266610,2024,5,80,0,9,89
6,MARCOS HIGHWAY,266610,2024,6,85,0,13,98
6,MARCOS HIGHWAY,266610,2024,7,109,1,18,128
6,MARCOS HIGHWAY,266610,2024,8,109,2,23,134
6,MARCOS HIGHWAY,266610,2024,9,87,0,15,102
6,MARCOS HIGHWAY,266610,2024,10,127,0,23,150
6,MARCOS HIGHWAY,266610,2024,11,104,0,16,120
6,MARCOS HIGHWAY,266610,2024,12,117,0,23,140
7,R-10,116325,2024,1,29,3,12,44
7,R-10,116325,2024,2,42,0,13,55
7,R-10,116325,2024,3,42,2,11,55
7,R-10,116325,2024,4,71,0,13,84
7,R-10,116325,2024,5,40,1,7,48
7,R-10,116325,2024,6,44,0,7,51
7,R-10,116325,2024,7,46,1,13,60
7,R-10,116325,2024,8,48,1,8,57
7,R-10,116325,2024,9,30,3,7,40
7,R-10,116325,2024,10,48,0,12,60
7,R-10,116325,2024,11,64,0,19,83
7,R-10,116325,2024,12,15,0,8,23
1,EDSA,407342,2023,1,562,0,141,703
1,EDSA,407342,2023,2,533,0,116,649
1,EDSA,407342,2023,3,561,1,166,728
1,EDSA,407342,2023,4,570,1,146,717
1,EDSA,407342,2023,5,570,2,164,736
1,EDSA,407342,2023,6,611,1,141,753
1,EDSA,407342,2023,7,690,1,163,854
1,EDSA,407342,2023,8,691,0,182,873
1,EDSA,407342,2023,9,566,1,135,702
1,EDSA,407342,2023,10,538,0,136,674
1,EDSA,407342,2023,11,520,4,117,641
1,EDSA,407342,2023,12,536,0,161,697
2,C-5,238695,2023,1,447,1,122,570
2,C-5,238695,2023,2,458,1,140,599
2,C-5,238695,2023,3,517,1,149,667
2,C-5,238695,2023,4,449,2,121,572
2,C-5,238695,2023,5,500,0,135,635
2,C-5,238695,2023,6,574,5,147,726
2,C-5,238695,2023,7,665,0,131,796
2,C-5,238695,2023,8,711,1,133,845
2,C-5,238695,2023,9,589,1,131,721
2,C-5,238695,2023,10,567,5,119,691
2,C-5,238695,2023,11,473,0,111,584
2,C-5,238695,2023,12,574,2,137,713
3,COMMONWEALTH AVE.,407988,2023,1,262,1,105,368
3,COMMONWEALTH AVE.,407988,2023,2,253,0,71,324
3,COMMONWEALTH AVE.,407988,2023,3,366,3,142,511
3,COMMONWEALTH AVE.,407988,2023,4,274,0,115,389
3,COMMONWEALTH AVE.,407988,2023,5,358,2,133,493
3,COMMONWEALTH AVE.,407988,2023,6,285,1,91,377
3,COMMONWEALTH AVE.,407988,2023,7,264,1,101,366
3,COMMONWEALTH AVE.,407988,2023,8,301,0,85,386
3,COMMONWEALTH AVE.,407988,2023,9,359,0,101,460
3,COMMONWEALTH AVE.,407988,2023,10,250,1,97,348
3,COMMONWEALTH AVE.,407988,2023,11,261,2,77,340
3,COMMONWEALTH AVE.,407988,2023,12,392,3,117,512
4,QUEZON AVE.,312486,2023,1,146,1,41,188
4,QUEZON AVE.,312486,2023,2,170,1,57,228
4,QUEZON AVE.,312486,2023,3,165,0,32,197
4,QUEZON AVE.,312486,2023,4,119,1,57,177
4,QUEZON AVE.,312486,2023,5,163,1,58,222
4,QUEZON AVE.,312486,2023,6,162,0,64,226
4,QUEZON AVE.,312486,2023,7,144,1,42,187
4,QUEZON AVE.,312486,2023,8,149,3,43,195
4,QUEZON AVE.,312486,2023,9,179,0,48,227
4,QUEZON AVE.,312486,2023,10,174,0,39,213
4,QUEZON AVE.,312486,2023,11,161,0,55,216
4,QUEZON AVE.,312486,2023,12,199,0,54,253
5,ROXAS BLVD.,190184,2023,1,100,0,25,125
5,ROXAS BLVD.,190184,2023,2,110,0,22,132
5,ROXAS BLVD.,190184,2023,3,124,3,29,156
5,ROXAS BLVD.,190184,2023,4,125,0,29,154
5,ROXAS BLVD.,190184,2023,5,129,0,39,168
5,ROXAS BLVD.,190184,2023,6,119,0,21,140
5,ROXAS BLVD.,190184,2023,7,172,1,26,199
5,ROXAS BLVD.,190184,2023,8,164,0,23,187
5,ROXAS BLVD.,190184,2023,9,115,3,25,143
5,ROXAS BLVD.,190184,2023,10,101,0,21,122
5,ROXAS BLVD.,190184,2023,11,112,0,29,141
5,ROXAS BLVD.,190184,2023,12,128,2,20,150
6,MARCOS HIGHWAY,243636,2023,1,69,1,19,89
6,MARCOS HIGHWAY,243636,2023,2,81,0,18,99
6,MARCOS HIGHWAY,243636,2023,3,56,2,20,78
6,MARCOS HIGHWAY,243636,2023,4,60,1,24,85
6,MARCOS HIGHWAY,243636,2023,5,86,1,16,103
6,MARCOS HIGHWAY,243636,2023,6,61,0,11,72
6,MARCOS HIGHWAY,243636,2023,7,85,1,16,102
6,MARCOS HIGHWAY,243636,2023,8,107,1,22,130
6,MARCOS HIGHWAY,243636,2023,9,79,0,23,102
6,MARCOS HIGHWAY,243636,2023,10,73,0,7,80
6,MARCOS HIGHWAY,243636,2023,11,74,0,14,88
6,MARCOS HIGHWAY,243636,2023,12,86,2,20,108
7,R-10,104615,2023,1,40,1,17,58
